Week,Title,Framework Code,Description
31,September 11 and the War on Terror,SS.912.A.7,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.
31,September 11 and the War on Terror,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.
31,September 11 and the War on Terror,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value."
31,September 11 and the War on Terror,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.
31,September 11 and the War on Terror,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.
31,September 11 and the War on Terror,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.
31,September 11 and the War on Terror,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.
32,"The Financial Crisis, Recovery, and Political Realignment",SS.912.A.7; Florida history,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.
32,"The Financial Crisis, Recovery, and Political Realignment",D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.
32,"The Financial Crisis, Recovery, and Political Realignment",D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value."
32,"The Financial Crisis, Recovery, and Political Realignment",D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.
32,"The Financial Crisis, Recovery, and Political Realignment",CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.
32,"The Financial Crisis, Recovery, and Political Realignment",CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.
32,"The Financial Crisis, Recovery, and Political Realignment",CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.
33,"Contemporary America: Institutions, Movements, and Historical Distance",SS.912.A.7; media literacy and civic responsibility,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.
33,"Contemporary America: Institutions, Movements, and Historical Distance",D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.
33,"Contemporary America: Institutions, Movements, and Historical Distance",D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value."
33,"Contemporary America: Institutions, Movements, and Historical Distance",D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.
33,"Contemporary America: Institutions, Movements, and Historical Distance",CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.
33,"Contemporary America: Institutions, Movements, and Historical Distance",CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.
33,"Contemporary America: Institutions, Movements, and Historical Distance",CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.
34,The Constitution in Practice: Federalism and the Courts,Florida civics and constitutional required instruction,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.
34,The Constitution in Practice: Federalism and the Courts,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.
34,The Constitution in Practice: Federalism and the Courts,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value."
34,The Constitution in Practice: Federalism and the Courts,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.
34,The Constitution in Practice: Federalism and the Courts,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.
34,The Constitution in Practice: Federalism and the Courts,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.
34,The Constitution in Practice: Federalism and the Courts,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.
35,"Elections, Media, Public Policy, and Civic Participation","Florida civics, voting, open government, and media literacy",Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.
35,"Elections, Media, Public Policy, and Civic Participation",D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.
35,"Elections, Media, Public Policy, and Civic Participation",D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value."
35,"Elections, Media, Public Policy, and Civic Participation",D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.
35,"Elections, Media, Public Policy, and Civic Participation",CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.
35,"Elections, Media, Public Policy, and Civic Participation",CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.
35,"Elections, Media, Public Policy, and Civic Participation",CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.
36,Civic Capstone and Historical Synthesis,"Cumulative Florida, C3, literacy, and civic-learning synthesis",Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.
36,Civic Capstone and Historical Synthesis,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.
36,Civic Capstone and Historical Synthesis,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value."
36,Civic Capstone and Historical Synthesis,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.
36,Civic Capstone and Historical Synthesis,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.
36,Civic Capstone and Historical Synthesis,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.
36,Civic Capstone and Historical Synthesis,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.
