Week,Topic,Standard or Skill
29,"War, Civil Conflict, and Peacebuilding",CCSS.WHST.11-12.7-9
29,"War, Civil Conflict, and Peacebuilding",C3.D2.Civ.9-14.9-12
29,"War, Civil Conflict, and Peacebuilding",C3.D2.Eco.1-15.9-12
29,"War, Civil Conflict, and Peacebuilding",C3.D2.Geo.4-12.9-12
29,"War, Civil Conflict, and Peacebuilding",AP-Research: Question and Explore
29,"War, Civil Conflict, and Peacebuilding",AP-Research: Understand and Analyze
29,"War, Civil Conflict, and Peacebuilding",AP-Research: Evaluate Sources and Evidence
29,"War, Civil Conflict, and Peacebuilding",AP-Research: Synthesize Ideas
29,"War, Civil Conflict, and Peacebuilding",AP-Research: Team/Transform/Transmit
29,"War, Civil Conflict, and Peacebuilding","NCSS Theme VII: Production, Distribution, and Consumption"
29,"War, Civil Conflict, and Peacebuilding",NCSS Theme IX: Global Connections
30,"Security, Terrorism, Nuclear Risk, and Cyber Conflict",C3.D1.1-5.9-12
30,"Security, Terrorism, Nuclear Risk, and Cyber Conflict",C3.D3.1-4.9-12
30,"Security, Terrorism, Nuclear Risk, and Cyber Conflict",C3.D4.1-8.9-12
30,"Security, Terrorism, Nuclear Risk, and Cyber Conflict",CCSS.RH.11-12.1
30,"Security, Terrorism, Nuclear Risk, and Cyber Conflict",CCSS.RH.11-12.7
30,"Security, Terrorism, Nuclear Risk, and Cyber Conflict",CCSS.WHST.11-12.1
30,"Security, Terrorism, Nuclear Risk, and Cyber Conflict",CCSS.WHST.11-12.7-9
30,"Security, Terrorism, Nuclear Risk, and Cyber Conflict",C3.D2.Civ.9-14.9-12
30,"Security, Terrorism, Nuclear Risk, and Cyber Conflict",C3.D2.Eco.1-15.9-12
30,"Security, Terrorism, Nuclear Risk, and Cyber Conflict",C3.D2.Geo.4-12.9-12
30,"Security, Terrorism, Nuclear Risk, and Cyber Conflict",AP-Research: Question and Explore
30,"Security, Terrorism, Nuclear Risk, and Cyber Conflict",AP-Research: Understand and Analyze
30,"Security, Terrorism, Nuclear Risk, and Cyber Conflict",AP-Research: Evaluate Sources and Evidence
30,"Security, Terrorism, Nuclear Risk, and Cyber Conflict",AP-Research: Synthesize Ideas
30,"Security, Terrorism, Nuclear Risk, and Cyber Conflict",AP-Research: Team/Transform/Transmit
30,"Security, Terrorism, Nuclear Risk, and Cyber Conflict","NCSS Theme VI: Power, Authority, and Governance"
30,"Security, Terrorism, Nuclear Risk, and Cyber Conflict",NCSS Theme X: Civic Ideals and Practices
31,"Technology, AI, Surveillance, and Digital Rights",C3.D1.1-5.9-12
31,"Technology, AI, Surveillance, and Digital Rights",C3.D3.1-4.9-12
31,"Technology, AI, Surveillance, and Digital Rights",C3.D4.1-8.9-12
31,"Technology, AI, Surveillance, and Digital Rights",CCSS.RH.11-12.1
31,"Technology, AI, Surveillance, and Digital Rights",CCSS.RH.11-12.7
31,"Technology, AI, Surveillance, and Digital Rights",CCSS.WHST.11-12.1
31,"Technology, AI, Surveillance, and Digital Rights",CCSS.WHST.11-12.7-9
31,"Technology, AI, Surveillance, and Digital Rights",C3.D2.Civ.9-14.9-12
31,"Technology, AI, Surveillance, and Digital Rights",C3.D2.Eco.1-15.9-12
31,"Technology, AI, Surveillance, and Digital Rights",C3.D2.Geo.4-12.9-12
31,"Technology, AI, Surveillance, and Digital Rights",AP-Research: Question and Explore
31,"Technology, AI, Surveillance, and Digital Rights",AP-Research: Understand and Analyze
31,"Technology, AI, Surveillance, and Digital Rights",AP-Research: Evaluate Sources and Evidence
31,"Technology, AI, Surveillance, and Digital Rights",AP-Research: Synthesize Ideas
31,"Technology, AI, Surveillance, and Digital Rights",AP-Research: Team/Transform/Transmit
31,"Technology, AI, Surveillance, and Digital Rights","NCSS Theme VI: Power, Authority, and Governance"
31,"Technology, AI, Surveillance, and Digital Rights",NCSS Theme X: Civic Ideals and Practices
32,Public Health and Humanitarian Coordination,C3.D1.1-5.9-12
32,Public Health and Humanitarian Coordination,C3.D3.1-4.9-12
32,Public Health and Humanitarian Coordination,C3.D4.1-8.9-12
32,Public Health and Humanitarian Coordination,CCSS.RH.11-12.1
32,Public Health and Humanitarian Coordination,CCSS.RH.11-12.7
32,Public Health and Humanitarian Coordination,CCSS.WHST.11-12.1
32,Public Health and Humanitarian Coordination,CCSS.WHST.11-12.7-9
32,Public Health and Humanitarian Coordination,C3.D2.Civ.9-14.9-12
32,Public Health and Humanitarian Coordination,C3.D2.Eco.1-15.9-12
32,Public Health and Humanitarian Coordination,C3.D2.Geo.4-12.9-12
32,Public Health and Humanitarian Coordination,AP-Research: Question and Explore
32,Public Health and Humanitarian Coordination,AP-Research: Understand and Analyze
32,Public Health and Humanitarian Coordination,AP-Research: Evaluate Sources and Evidence
32,Public Health and Humanitarian Coordination,AP-Research: Synthesize Ideas
32,Public Health and Humanitarian Coordination,AP-Research: Team/Transform/Transmit
32,Public Health and Humanitarian Coordination,"NCSS Theme VI: Power, Authority, and Governance"
32,Public Health and Humanitarian Coordination,NCSS Theme X: Civic Ideals and Practices
33,Capstone Evidence and Findings,C3.D1.1-5.9-12
33,Capstone Evidence and Findings,C3.D3.1-4.9-12
33,Capstone Evidence and Findings,C3.D4.1-8.9-12
33,Capstone Evidence and Findings,CCSS.RH.11-12.1
33,Capstone Evidence and Findings,CCSS.RH.11-12.7
33,Capstone Evidence and Findings,CCSS.WHST.11-12.1
33,Capstone Evidence and Findings,CCSS.WHST.11-12.7-9
33,Capstone Evidence and Findings,C3.D2.Civ.9-14.9-12
33,Capstone Evidence and Findings,C3.D2.Eco.1-15.9-12
33,Capstone Evidence and Findings,C3.D2.Geo.4-12.9-12
33,Capstone Evidence and Findings,AP-Research: Question and Explore
33,Capstone Evidence and Findings,AP-Research: Understand and Analyze
33,Capstone Evidence and Findings,AP-Research: Evaluate Sources and Evidence
33,Capstone Evidence and Findings,AP-Research: Synthesize Ideas
33,Capstone Evidence and Findings,AP-Research: Team/Transform/Transmit
34,Thesis Drafting and Peer Review,C3.D1.1-5.9-12
34,Thesis Drafting and Peer Review,C3.D3.1-4.9-12
34,Thesis Drafting and Peer Review,C3.D4.1-8.9-12
34,Thesis Drafting and Peer Review,CCSS.RH.11-12.1
34,Thesis Drafting and Peer Review,CCSS.RH.11-12.7
34,Thesis Drafting and Peer Review,CCSS.WHST.11-12.1
34,Thesis Drafting and Peer Review,CCSS.WHST.11-12.7-9
34,Thesis Drafting and Peer Review,C3.D2.Civ.9-14.9-12
34,Thesis Drafting and Peer Review,C3.D2.Eco.1-15.9-12
34,Thesis Drafting and Peer Review,C3.D2.Geo.4-12.9-12
34,Thesis Drafting and Peer Review,AP-Research: Question and Explore
34,Thesis Drafting and Peer Review,AP-Research: Understand and Analyze
34,Thesis Drafting and Peer Review,AP-Research: Evaluate Sources and Evidence
34,Thesis Drafting and Peer Review,AP-Research: Synthesize Ideas
34,Thesis Drafting and Peer Review,AP-Research: Team/Transform/Transmit
35,Political Engagement and Public Communication,C3.D1.1-5.9-12
35,Political Engagement and Public Communication,C3.D3.1-4.9-12
35,Political Engagement and Public Communication,C3.D4.1-8.9-12
35,Political Engagement and Public Communication,CCSS.RH.11-12.1
35,Political Engagement and Public Communication,CCSS.RH.11-12.7
35,Political Engagement and Public Communication,CCSS.WHST.11-12.1
35,Political Engagement and Public Communication,CCSS.WHST.11-12.7-9
35,Political Engagement and Public Communication,C3.D2.Civ.9-14.9-12
35,Political Engagement and Public Communication,C3.D2.Eco.1-15.9-12
35,Political Engagement and Public Communication,C3.D2.Geo.4-12.9-12
35,Political Engagement and Public Communication,AP-Research: Question and Explore
35,Political Engagement and Public Communication,AP-Research: Understand and Analyze
35,Political Engagement and Public Communication,AP-Research: Evaluate Sources and Evidence
35,Political Engagement and Public Communication,AP-Research: Synthesize Ideas
35,Political Engagement and Public Communication,AP-Research: Team/Transform/Transmit
36,"Senior Thesis, Oral Defense, and Cumulative Final",C3.D1.1-5.9-12
36,"Senior Thesis, Oral Defense, and Cumulative Final",C3.D3.1-4.9-12
36,"Senior Thesis, Oral Defense, and Cumulative Final",C3.D4.1-8.9-12
36,"Senior Thesis, Oral Defense, and Cumulative Final",CCSS.RH.11-12.1
36,"Senior Thesis, Oral Defense, and Cumulative Final",CCSS.RH.11-12.7
36,"Senior Thesis, Oral Defense, and Cumulative Final",CCSS.WHST.11-12.1
36,"Senior Thesis, Oral Defense, and Cumulative Final",CCSS.WHST.11-12.7-9
36,"Senior Thesis, Oral Defense, and Cumulative Final",C3.D2.Civ.9-14.9-12
36,"Senior Thesis, Oral Defense, and Cumulative Final",C3.D2.Eco.1-15.9-12
36,"Senior Thesis, Oral Defense, and Cumulative Final",C3.D2.Geo.4-12.9-12
36,"Senior Thesis, Oral Defense, and Cumulative Final",AP-Research: Question and Explore
36,"Senior Thesis, Oral Defense, and Cumulative Final",AP-Research: Understand and Analyze
36,"Senior Thesis, Oral Defense, and Cumulative Final",AP-Research: Evaluate Sources and Evidence
36,"Senior Thesis, Oral Defense, and Cumulative Final",AP-Research: Synthesize Ideas
36,"Senior Thesis, Oral Defense, and Cumulative Final",AP-Research: Team/Transform/Transmit
